orient,distractor,kappa,subject,resp,respRT,acc,traj
141,0,50,12,119,1.106491089,-22,-44
62,0.15,50,12,57,1.588474989,-5,54
13,0.15,100,12,31,1.659154892,18,-118
138,0,50,12,152,0.800473928,14,142
73,0.15,100,12,63.5,2.364931107,-9.5,-19.5
51,1,50,12,59,2.200512886,8,-65
14,1,5000,12,46,0.918210983,32,-66
163,0.15,100,12,147,1.306056023,-16,106
13,0,5000,12,37,1.894558191,24,-6
107,0.15,100,12,130,1.235625029,23,110
14,0.15,5000,12,35,1.223701954,21,-90
166,0.15,100,13,172,0.472465992,6,44
2,1,5000,13,8,1.000135899,6,-132
111,0.15,100,13,135,1.576623201,24,120
150,0.15,50,13,148,2.094269991,-2,38
147,1,5000,13,150,2.164661169,3,80
120,0.15,50,13,149,2.541481972,29,-28
121,0.15,5000,13,135,1.659183025,14,98
175,0,5000,13,175,1.02385211,0,6
147,1,50,13,148,1.200234175,1,-8
37,0,50,13,31,1.353091002,-6,-114
116,1,100,13,121,2.4119699,5,68
106,0,100,13,118,1.282577038,12,34
176,0.15,100,13,158,2.270791054,-18,112
100,0.15,100,13,107,0.894576073,7,34
78,1,5000,13,75,1.529714823,-3,62
70,1,100,13,76,1.471200943,6,-56
159,1,5000,13,159,1.459023952,0,70
25,0.15,50,13,25,1.153162956,0,6
36,0,5000,13,26,1.40023303,-10,-66
165,0.15,100,13,155,2.517833948,-10,114
25,1,5000,13,14,1.671025038,-11,-160
8,0.15,100,13,15,1.3536551,7,-72
135,1,100,13,135,1.176834822,0,70
12,0.15,5000,13,34,1.611984968,22,-48
104,1,100,13,110,0.894323111,6,84
30,1,5000,13,19,1.31824708,-11,-94
133,0,50,13,147,0.988765955,14,98
172,0.15,100,13,154,1.047610044,-18,38
70,0,100,13,67,1.094344139,-3,-52
1,0,100,13,162,1.024127007,-19,94
70,0.15,5000,13,70,0.635518074,0,-30
93,0.15,100,13,80,0.77670598,-13,22
111,0.15,5000,13,127,0.753183842,16,26
30,0.15,100,13,22,1.729836941,-8,12
74,0.15,100,13,75,1.659089804,1,-4
123,1,100,13,133,2.05904007,10,42
59,1,5000,13,23,0.800445795,-36,-10
177,0,50,13,161,1.471061945,-16,124
108,0,50,13,175,2.35315299,67,144
20,0,100,13,12,1.847642899,-8,-70
71,0,100,13,58,1.482553005,-13,-44
100,1,100,13,111,1.965002775,11,-28
23,0,5000,13,16,0.753125906,-7,-28
56,0,5000,13,64,0.988461971,8,58
136,0,100,13,142,0.635776997,6,14
174,1,50,13,150,2.235705137,-24,102
130,0,50,13,147,1.247530222,17,2
102,1,5000,13,109,0.906435013,7,60
78,1,50,13,64,1.223861933,-14,-80
58,1,100,13,58,1.294794083,0,-108
89,0.15,100,13,74,1.788815022,-15,-22
167,1,100,13,158,1.835902214,-9,26
59,1,5000,13,50,1.047366142,-9,-70
58,0,100,13,NaN,2.224036932,NaN,0
137,1,100,13,158,1.965182066,21,66
74,0,100,13,57,1.212360144,-17,-58
142,0,100,13,144,1.01208806,2,102
80,1,5000,13,57,1.717858076,-23,6
35,0,5000,13,40,0.706381083,5,-36
10,0,50,13,14,0.776700974,4,-154
109,0.15,5000,13,123,1.435858011,14,2
76,0.15,100,13,58,2.106103182,-18,-68
143,1,5000,13,133,1.517858028,-10,-4
94,0,100,13,111,2.553540945,17,-38
62,1,5000,13,44,2.32972908,-18,-16
3,0.15,100,13,11,2.470721006,8,-68
44,0.15,100,13,52,2.494330883,8,-22
112,0.15,50,13,120,1.200325012,8,54
137,0,100,13,133,2.506103992,-4,124
50,0.15,50,13,24,1.847309113,-26,2
102,1,5000,13,115,1.106085062,13,98
11,0.15,5000,13,12,1.364907026,1,-142
123,0.15,5000,13,139,1.058956861,16,106
45,0.15,50,13,39,1.000270844,-6,2
154,1,5000,13,147,2.54172802,-7,116
73,0.15,50,13,72,1.118268967,-1,-10
144,0,100,13,126,2.447280884,-18,24
176,0.15,100,13,155,1.482787848,-21,16
18,1,50,13,22,1.765284777,4,-22
17,1,50,13,12,1.070808887,-5,6
90,1,100,13,76,1.964828014,-14,-52
99,0.15,100,13,104,0.977110863,5,56
43,0.15,50,13,35,2.506505966,-8,-110
169,1,50,13,147,0.929951906,-22,98
48,0.15,100,13,32,2.035520077,-16,-112
6,1,5000,13,14,0.706164122,8,-152
168,1,100,13,162,2.200174809,-6,66
160,0,5000,13,160,1.012012005,0,28
103,1,5000,13,112,1.353154898,9,-8
58,0.15,50,13,57,1.647277117,-1,28
25,1,50,13,44,0.906082153,19,-48
151,0.15,100,13,145,2.247514009,-6,30
146,0,5000,13,146,2.541631937,0,104
44,0.15,100,13,49,1.400269985,5,-2
106,1,100,13,122,0.894453049,16,46
180,0,50,13,166,1.1413939,-14,-2
51,1,50,13,73,0.683092117,22,-48
104,0,50,13,112,1.506083012,8,-14
150,1,100,13,125,1.52964592,-25,-12
122,0,5000,13,127,1.84728384,5,-22
143,0.15,5000,13,140,1.459020138,-3,80
5,0.15,5000,13,9,2.52962184,4,-70
149,0,100,13,134,2.188450813,-15,60
166,1,5000,13,170,2.447262049,4,104
33,0,50,13,23,1.223757982,-10,14
61,0.15,5000,13,58,0.882845879,-3,36
146,1,100,13,145,1.247531891,-1,128
108,0,50,13,134,1.576672792,26,-20
46,1,50,13,39,1.188467026,-7,6
64,0,50,13,49,1.894717932,-15,12
84,0,100,13,67,0.965038061,-17,36
103,0,100,13,124,0.918284893,21,42
16,0.15,5000,13,20,2.259271145,4,-82
1,0,100,13,169,1.518100977,-12,30
131,0,50,13,146,1.823750019,15,102
55,1,50,13,48,1.223770857,-7,42
145,0,100,13,152,0.659147024,7,24
88,0,5000,13,74,2.271215916,-14,26
115,1,50,13,115,2.000216007,0,-30
140,1,50,13,151,1.929727793,11,102
144,0.15,5000,13,164,0.647280931,20,20
24,1,100,13,12,0.812391996,-12,-154
11,0,5000,13,14,2.24734211,3,-82
130,1,50,13,NaN,1.411942959,NaN,0
138,1,50,13,172,1.717866898,34,52
71,0.15,5000,13,67,1.741384983,-4,38
157,0,100,13,156,2.106095076,-1,64
94,0,5000,13,103,1.447635174,9,-12
9,0.15,5000,13,12,0.611996889,3,-30
141,0.15,100,13,155,1.953157902,14,104
2,1,50,13,6,1.165215015,4,-70
178,0,50,13,NaN,1.400629997,NaN,0
117,1,100,13,123,2.247292995,6,2
22,1,100,13,22,2.247753143,0,-104
169,1,100,13,163,0.659396172,-6,26
176,0.15,50,13,177,2.294308901,1,28
114,0.15,100,13,124,1.106246948,10,64
162,0,100,13,145,1.106101036,-17,66
41,0,50,13,28,0.788468838,-13,-46
130,0,50,13,156,1.483069897,26,90
122,0,5000,13,131,0.953150034,9,122
156,0,50,13,170,2.506375074,14,148
172,1,100,13,167,1.435519934,-5,150
52,0.15,5000,13,58,1.000695944,6,-96
9,1,5000,13,9,0.600193024,0,-24
86,0.15,50,13,83,0.894335032,-3,46
166,0.15,5000,13,151,1.1178689,-15,120
53,0.15,100,13,62,0.635507107,9,-20
113,0.15,50,13,106,1.211997032,-7,4
132,0,100,13,115,1.035815954,-17,-24
77,1,50,13,64,0.753066063,-13,20
175,0.15,50,13,164,0.824207067,-11,158
25,0.15,5000,13,18,1.13004303,-7,-110
88,0.15,5000,13,76,0.753185987,-12,28
143,1,50,13,157,1.588722944,14,12
129,0,50,13,155,1.871063948,26,106
109,1,5000,13,118,0.706481934,9,-26
16,0,5000,13,30,1.118238926,14,-136
107,0,100,13,120,0.577102184,13,24
52,1,50,13,52,1.988464832,0,-80
57,1,100,13,46,1.259010077,-11,-74
96,0,5000,13,97,2.023724079,1,68
106,0.15,100,13,96,1.15316987,-10,4
86,1,5000,13,79,0.588464975,-7,-36
175,1,100,13,166,2.153097868,-9,124
90,1,5000,13,103,0.964888096,13,52
139,0.15,5000,13,156,0.788646936,17,80
152,0,50,13,158,2.035520077,6,-10
169,0,50,13,161,1.306362152,-8,40
23,0.15,5000,13,18,1.012187958,-5,-108
151,0,50,13,155,0.576828957,4,18
37,1,5000,13,27,2.188456059,-10,-122
61,0.15,5000,13,42,2.294317007,-19,-18
111,0,50,13,101,0.564973116,-10,22
98,1,50,13,98,0.741477013,0,24
172,0,5000,13,172,1.682933092,0,106
58,0,50,13,57,1.129669189,-1,48
91,1,5000,13,106,1.741704226,15,84
90,0,100,13,103,1.635745049,13,86
155,0,50,13,152,1.165045023,-3,-2
130,0,100,13,133,1.941783905,3,100
106,1,100,13,119,1.553158998,13,82
87,0,5000,13,77,1.023851871,-10,46
39,0,5000,13,30,0.941519976,-9,-52
153,0,5000,13,148,1.070891142,-5,46
71,0.15,50,13,43,0.918176889,-28,-96
51,1,50,13,40,1.423846006,-11,-4
61,1,5000,13,58,1.117873907,-3,52
5,1,50,13,174,2.023845196,-11,46
108,0,5000,13,132,1.847374916,24,84
82,1,50,13,69,1.647265196,-13,-76
74,0.15,50,13,75,0.953156948,1,26
174,1,5000,13,166,0.553169012,-8,22
106,0,50,13,114,1.329626083,8,-52
143,0.15,5000,13,150,2.247233868,7,54
115,0,50,13,126,1.517883778,11,-6
61,0,100,13,52,1.082546949,-9,-68
18,0.15,100,13,13,2.282570839,-5,-16
145,1,5000,13,144,0.788478136,-1,52
124,1,50,13,131,0.553163052,7,16
44,1,100,13,NaN,1.200206995,NaN,0
154,0,5000,13,151,2.047405958,-3,100
93,0.15,50,13,102,0.706387997,9,26
99,1,5000,13,98,1.118333817,-1,-70
169,0,100,13,167,0.800153971,-2,46
50,1,100,13,38,1.964932919,-12,-88
113,0.15,100,13,113,1.023766041,0,-24
165,0.15,5000,13,163,0.612000942,-2,14
34,0,50,13,28,1.682667017,-6,-32
17,0,50,13,27,1.906177998,10,-52
161,0,100,13,164,1.282580137,3,90
160,1,50,13,170,1.271181107,10,104
117,0.15,5000,13,113,1.106142998,-4,104
166,0,50,13,154,1.447263956,-12,132
79,0,5000,13,41,1.941395998,-38,24
80,0.15,100,13,72,2.129988194,-8,-82
60,0,5000,13,47,1.50642705,-13,14
44,0,100,13,35,1.64752984,-9,-2
78,1,100,13,77,0.917891026,-1,46
71,0,50,13,80,1.059415102,9,-2
118,1,50,13,120,0.576697111,2,18
27,0.15,100,13,19,1.153496027,-8,-120
160,0,50,13,158,1.082951784,-2,114
164,0.15,50,13,164,1.424150944,0,158
126,1,5000,13,NaN,1.353217125,NaN,0
90,0,5000,13,102,1.259335995,12,54
130,0,100,13,129,2.306504965,-1,-16
106,0.15,50,13,113,1.188626051,7,64
41,0.15,50,13,22,1.141322851,-19,-122
123,0,5000,13,152,1.870813131,29,-14
177,1,5000,13,152,1.64727211,-25,56
49,0.15,50,13,10,1.729704857,-39,-122
15,1,100,13,18,1.000506878,3,-102
38,1,50,13,17,1.965260983,-21,-12
45,0,50,13,32,1.624049187,-13,-60
119,1,50,13,NaN,1.082564831,NaN,0
110,1,50,13,116,1.953353167,6,74
6,0.15,50,13,7,1.365437031,1,-44
37,1,50,13,30,1.176974058,-7,-46
3,0,5000,13,8,0.588453054,5,-160
25,1,50,13,5,2.388855934,-20,-116
172,0.15,50,13,170,0.88270998,-2,44
92,0,100,13,105,1.50621295,13,-32
84,1,100,13,89,1.565037012,5,-60
118,0,100,13,122,2.011929035,4,62
58,0,5000,13,47,0.870968819,-11,-32
180,0,5000,13,174,2.165119886,-6,100
140,1,100,13,132,1.423734903,-8,66
124,1,5000,13,131,0.988785982,7,122
49,0.15,50,13,58,1.941447973,9,36
4,0,100,13,45,1.553124905,41,28
94,0.15,100,13,98,2.000612974,4,-56
102,0,5000,13,117,0.918143034,15,84
147,0,50,13,153,1.518115044,6,116
19,0.15,50,13,19,1.235538006,0,-12
28,0,50,13,16,0.906374931,-12,-66
17,0.15,5000,13,16,0.965008974,-1,-86
135,0,50,13,155,1.506121874,20,16
86,1,5000,13,82,2.329724073,-4,38
65,0,100,13,68,1.318114042,3,62
29,0.15,50,13,26,0.90625,-3,-102
166,0,50,13,54,1.894632101,68,6
44,0.15,5000,13,43,0.965395927,-1,-102
45,1,5000,13,39,2.070819855,-6,-10
160,0.15,50,13,164,1.529639959,4,20
43,1,50,13,42,1.953567028,-1,-124
29,0.15,100,13,12,1.776978016,-17,-84
103,0.15,100,13,108,1.588830948,5,-24
146,1,50,13,146,0.741796017,0,26
113,0.15,100,13,117,0.882690907,4,88
144,0,5000,13,138,0.80023098,-6,46
156,1,100,13,143,0.671282053,-13,28
125,0,50,13,124,2.506085873,-1,82
53,0.15,5000,13,35,0.835837841,-18,-16
27,0.15,100,13,30,1.43582201,3,-46
155,0.15,5000,13,152,0.718261003,-3,-16
110,1,5000,13,113,1.211990118,3,-8
93,1,50,13,108,2.117867947,15,-18
153,0.15,50,13,37,2.094572783,64,-100
2,0.15,100,13,35,2.553491116,33,-114
107,0,5000,13,116,1.482582092,9,56
156,0.15,100,13,163,0.824134827,7,84
14,0.15,5000,13,8,2.294334173,-6,-66
132,0.15,50,13,122,0.78845787,-10,56
78,0.15,50,13,69,1.517869949,-9,60
106,1,5000,13,114,1.788717031,8,92
21,0.15,50,13,15,1.553217888,-6,-2
75,0,100,13,66,1.012310028,-9,-88
21,0.15,50,13,13,1.976722002,-8,-20
37,0,5000,13,35,1.165177107,-2,-2
139,1,50,13,143,2.47080183,4,112
30,0,5000,13,120,2.553215027,-90,38
141,1,5000,13,128,1.411964893,-13,26
160,1,100,13,110,2.459009171,-50,-29
132,1,100,13,124,1.282557011,-8,80
119,1,5000,13,108,1.682577848,-11,102
144,1,5000,13,140,1.588465214,-4,12
176,0.15,5000,13,166,2.188405991,-10,118
23,0.15,5000,13,23,2.106492043,0,-122
116,1,50,13,125,1.094671965,9,76
133,0,5000,13,136,1.059480906,3,-8
19,0.15,50,13,12,1.14134407,-7,-154
107,0,5000,13,114,0.659377813,7,18
165,0.15,100,13,148,1.812113047,-17,16
56,0,5000,13,46,1.906100988,-10,-74
96,1,100,13,101,1.094343901,5,72
144,1,5000,13,160,1.27108717,16,68
19,1,100,13,19,1.741528034,0,-96
60,0.15,5000,13,58,1.071125984,-2,16
106,0.15,50,13,113,1.082959175,7,62
44,0.15,5000,13,40,1.176669836,-4,-36
87,0.15,50,13,84,2.541330814,-3,-84
129,0,5000,13,NaN,1.600615978,NaN,0
164,0.15,50,13,156,2.012222052,-8,30
119,0,50,13,121,0.729877949,2,-16
4,0,100,13,173,1.22385788,-11,24
7,0,100,13,8,1.859419107,1,-52
55,1,50,13,61,1.518216848,6,-18
75,0,5000,13,70,1.353159904,-5,-4
180,0,100,13,166,1.082993984,-14,100
21,1,100,13,NaN,1.411993027,NaN,0
159,1,5000,13,164,1.412373066,5,142
65,0,100,13,57,0.953375101,-8,40
100,0.15,5000,13,116,2.023931026,16,-38
163,0.15,50,13,155,1.153168917,-8,122
60,1,100,13,71,1.600439072,11,34
124,1,100,13,129,0.941653013,5,98
116,1,100,13,122,1.376788139,6,40
4,1,100,13,18,2.435520172,14,-84
64,0.15,100,13,57,1.15313983,-7,-82
91,0.15,100,13,92,0.800209999,1,48
127,0.15,5000,13,152,1.306596994,25,146
76,0.15,100,13,70,0.871031046,-6,-58
44,0,100,13,20,0.530030966,-24,-28
111,0.15,5000,13,121,0.917870045,10,-24
34,0.15,100,13,37,2.247529984,3,-12
159,0.15,50,13,152,0.611996889,-7,8
174,1,100,13,170,1.259037018,-4,4
107,1,50,13,20,2.094347954,-87,-76
77,0.15,50,13,76,2.176777124,-1,-56
163,0,5000,13,160,0.800191879,-3,40
69,0.15,50,13,65,0.882632017,-4,36
46,0,100,13,44,1.035511971,-2,-48
112,0.15,5000,13,127,1.223740101,15,12
57,0.15,5000,13,40,1.106145859,-17,-2
84,1,50,13,79,0.929753065,-5,28
133,0.15,5000,13,124,1.329626083,-9,48
180,1,50,13,20,0.976704121,20,-148
77,0.15,100,13,63,1.941579103,-14,-58
38,1,5000,13,26,1.518211842,-12,-100
23,0,100,13,7,2.271205902,-16,-130
115,0,50,13,115,0.953124046,0,-34
170,1,50,13,166,1.670832872,-4,106
81,0,50,13,63,0.529627085,-18,-16
93,0.15,5000,13,94,2.482559919,1,20
7,0,5000,13,8,1.1297369,1,-58
98,0,50,13,107,1.094341993,9,98
9,1,100,13,4,0.659497976,-5,-18
81,0.15,50,13,81,1.553172112,0,64
5,0,5000,13,4,0.976884127,-1,-150
38,0,5000,14,NaN,0,NaN,0
168,1,5000,14,110,2.318062067,-58,12
21,0.15,50,14,NaN,0,NaN,0
7,0,5000,14,26,2.129694939,19,-56
179,1,50,14,NaN,0,NaN,0
28,0,50,14,23,1.823745966,-5,-77
99,0,100,14,NaN,0,NaN,0
80,0,5000,14,10,2.49439621,-70,-14
38,0,50,14,NaN,0,NaN,0
32,0.15,100,14,81,2.011992931,49,5
63,0.15,50,14,NaN,0,NaN,0
151,1,100,14,25,1.977046967,54,-74
140,1,5000,14,NaN,0,NaN,0
173,0.15,5000,14,126.5,2.553267002,-46.5,71.5
58,1,100,14,NaN,0,NaN,0
131,0,50,14,142,1.329921961,11,54
178,0,5000,14,NaN,0,NaN,0
21,0,50,14,126,2.459274054,-75,75
177,0,50,14,NaN,0,NaN,0
26,0,100,14,21,2.047362089,-5,-114
166,1,5000,14,NaN,0,NaN,0
109,0.15,5000,14,116,2.541676998,7,75
129,0.15,5000,14,NaN,0,NaN,0
11,0,5000,14,143.5,2.106101036,-47.5,-1.5
120,1,5000,14,NaN,0,NaN,0
13,1,50,14,125.5,2.541781902,-67.5,28.5
92,1,5000,14,NaN,0,NaN,0
33,0.15,5000,14,0.5,2.271170139,-32.5,-160.5
10,0.15,5000,14,NaN,0,NaN,0
66,0,50,14,151,1.294340849,85,64
86,1,50,14,NaN,0,NaN,0
118,0.15,5000,14,51,2.376697063,-67,-90
44,1,50,14,NaN,0,NaN,0
163,1,50,14,70,1.188460112,87,-56
70,1,5000,14,NaN,0,NaN,0
66,0,50,14,45,2.470971107,-21,-4
99,0.15,100,14,NaN,0,NaN,0
180,0.15,50,14,128,1.883066893,-52,100
22,0.15,5000,14,NaN,0,NaN,0
170,1,50,14,101,1.506464005,-69,52
135,1,100,14,NaN,0,NaN,0
108,0,100,14,107,0.718092918,-1,20
82,1,50,14,NaN,0,NaN,0
107,0.15,50,14,20,2.553359032,-87,-12
137,0,100,14,NaN,0,NaN,0
98,0.15,100,14,174,2.553361893,76,160
45,0.15,100,14,NaN,0,NaN,0
156,0,100,14,172.5,2.553371906,16.5,147.5
47,1,50,14,NaN,0,NaN,0
85,0.15,100,14,64,2.482554913,-21,-110
79,0.15,100,14,NaN,0,NaN,0
82,1,50,14,7,2.517858028,-75,-140
85,0.15,50,14,NaN,0,NaN,0
74,1,100,14,75.5,2.27077508,1.5,30.5
136,0,100,14,NaN,0,NaN,0
27,0,5000,14,105,2.377107143,78,-40
120,1,100,14,NaN,0,NaN,0
173,0.15,100,14,104,2.329751015,-69,84
90,0,50,14,NaN,0,NaN,0
52,1,5000,14,32,1.776674032,-20,-116
62,1,5000,14,NaN,0,NaN,0
107,0.15,5000,14,33,2.400196075,-74,-44
113,1,100,14,NaN,0,NaN,0
89,0.15,100,14,180,1.423756123,-89,84
18,1,100,14,NaN,0,NaN,0
15,1,5000,14,126,1.482541084,-69,70
93,1,5000,14,NaN,0,NaN,0
8,1,50,14,60,1.459444046,52,-100
68,0,5000,14,NaN,0,NaN,0
139,1,50,14,45,1.529642105,86,-78
11,1,100,14,NaN,0,NaN,0
136,0.15,50,14,178,1.917896986,42,118
38,0.15,100,14,NaN,0,NaN,0
132,1,5000,14,128,1.047690153,-4,100
41,0,100,14,NaN,0,NaN,0
18,1,5000,14,93,0.788465977,75,44
126,0,50,14,NaN,0,NaN,0
69,1,50,14,113,1.776758909,44,26
92,1,50,14,NaN,0,NaN,0
150,0,50,14,27,1.670935869,57,-5
74,0.15,5000,14,NaN,0,NaN,0
120,1,100,14,179,1.659030199,59,165
8,0.15,5000,14,NaN,0,NaN,0
180,0.15,100,14,163,2.129992962,-17,138
169,0,5000,14,NaN,0,NaN,0
126,0,100,14,68,2.317834139,-58,-106
155,0.15,5000,14,NaN,0,NaN,0
117,1,50,14,5,2.200431108,68,-142
105,0,5000,14,NaN,0,NaN,0
180,0.15,5000,14,69,1.953408003,69,24
133,0,100,14,NaN,0,NaN,0
113,1,50,14,105,2.106387138,-8,-40
60,1,5000,14,NaN,0,NaN,0
161,0,5000,14,116,2.542216063,-45,96
110,1,50,14,NaN,0,NaN,0
89,0.15,100,14,10,2.306056023,-79,-138
140,0,100,14,NaN,0,NaN,0
95,0.15,50,14,53,1.988553047,-42,-24
140,1,5000,14,NaN,0,NaN,0
50,1,50,14,6,2.553168058,-44,-90
144,1,5000,14,NaN,0,NaN,0
8,0,50,14,115,2.235818863,-73,59
129,0,5000,14,NaN,0,NaN,0
75,1,50,14,62,1.600589037,-13,-98
172,0,100,14,NaN,0,NaN,0
120,1,100,14,57,1.906077862,-63,-66
22,0,100,14,NaN,0,NaN,0
97,0,50,14,176,2.459039927,79,116
172,0.15,50,14,NaN,0,NaN,0
86,0,100,14,132,1.48277998,46,104
101,1,50,14,NaN,0,NaN,0
33,0,100,14,97,1.871301174,64,48
86,0,5000,14,NaN,0,NaN,0
19,1,5000,14,116.5,2.411971807,-82.5,29.5
18,0,100,14,NaN,0,NaN,0
59,0,100,14,16,1.671205044,-43,-16
108,0,100,14,NaN,0,NaN,0
68,1,5000,14,1,2.000210047,-67,-13
70,1,100,14,NaN,0,NaN,0
163,0.15,100,14,160.5,1.882859945,-2.5,135.5
18,1,50,14,NaN,0,NaN,0
161,1,5000,14,70,2.082828045,89,-104
42,1,5000,14,NaN,0,NaN,0
139,1,100,14,19,1.659333944,60,-128
110,0,100,14,NaN,0,NaN,0
180,1,5000,14,75,2.353179216,75,30
76,0.15,50,14,NaN,0,NaN,0
74,1,100,14,106.5,2.541370869,32.5,-38.5
74,0.15,100,14,NaN,0,NaN,0
123,0.15,100,14,120,2.353417158,-3,100
167,1,100,14,NaN,0,NaN,0
170,0.15,100,14,30,1.976748228,40,-118
98,0.15,100,14,NaN,0,NaN,0
179,0,100,14,NaN,0,NaN,0
11,0.15,100,14,57,2.259138823,46,54
62,1,5000,14,NaN,0,NaN,0
31,0.15,100,14,106,2.129631042,75,-26
57,0,50,14,NaN,0,NaN,0
41,1,100,14,58,2.54142189,17,-8
49,0.15,5000,14,NaN,0,NaN,0
49,0,50,14,169,1.811973095,-60,132
161,0.15,100,14,NaN,0,NaN,0
142,1,50,14,141.5,1.658959866,-0.5,-36.5
117,0,50,14,NaN,0,NaN,0
58,0,50,14,NaN,0,NaN,0
79,0,100,14,120,2.094357967,41,92
165,0.15,50,14,NaN,0,NaN,0
163,1,5000,14,93,1.447371006,-70,44
99,1,5000,14,NaN,0,NaN,0
2,0.15,100,14,113.5,2.411937952,-68.5,26.5
151,0.15,50,14,NaN,0,NaN,0
19,0.15,100,14,17,2.459098101,-2,-15
179,0.15,100,14,NaN,0,NaN,0
177,1,50,14,2,2.553143978,5,-12
61,0,50,14,NaN,0,NaN,0
150,0.15,5000,14,153.5,1.941534042,3.5,128.5
153,1,100,14,NaN,0,NaN,0
78,0,50,14,46,2.235604048,-32,-128
43,0.15,5000,14,NaN,0,NaN,0
80,1,50,14,9,0.965218782,-71,-138
112,0.15,50,14,NaN,0,NaN,0
59,1,5000,14,71,0.635802984,12,26
148,1,100,14,NaN,0,NaN,0
117,0,5000,14,104.5,2.082555056,-12.5,-40.5
35,0,5000,14,NaN,0,NaN,0
108,0.15,50,14,136,2.023851156,28,116
155,1,100,14,NaN,0,NaN,0
110,0,5000,14,10,2.529607058,80,-138
60,1,5000,14,NaN,0,NaN,0
112,0,100,14,37,2.188632965,-75,-40
71,0,5000,14,NaN,0,NaN,0
66,0.15,100,14,2,1.40022707,-64,-94
46,1,5000,14,NaN,0,NaN,0
117,0,5000,14,113,2.071036816,-4,57
118,0,5000,14,NaN,0,NaN,0
169,1,50,14,66,1.411990881,77,-94
83,0.15,50,14,NaN,0,NaN,0
32,1,50,14,57,1.694437981,25,-66
169,0.15,5000,14,NaN,0,NaN,0
85,0,5000,14,1.5,2.211997986,-83.5,-58.5
142,0.15,100,14,NaN,0,NaN,0
148,0,100,14,123,2.435799122,-25,95
83,0,100,14,NaN,0,NaN,0
84,0,50,14,90,2.506509066,6,41
76,0.15,5000,14,NaN,0,NaN,0
95,0,50,14,103,2.094446898,8,16
38,0.15,100,14,NaN,0,NaN,0
25,1,50,14,29,1.788429022,4,-3
23,0,5000,14,NaN,0,NaN,0
163,0,50,14,179.5,1.765024185,16.5,165.5
68,0,5000,14,NaN,0,NaN,0
126,0.15,50,14,159.5,2.506175041,33.5,134.5
7,1,5000,14,NaN,0,NaN,0
18,1,100,14,60,2.553164959,42,-114
166,1,5000,14,NaN,0,NaN,0
133,1,100,14,5,1.047307968,52,-142
96,1,50,14,NaN,0,NaN,0
168,0.15,100,14,75,2.259282827,87,30
14,0.15,50,14,NaN,0,NaN,0
91,0,5000,14,108,2.471189976,17,-37
159,1,5000,14,NaN,0,NaN,0
136,1,5000,14,124,1.647622824,-12,104
115,1,5000,14,NaN,0,NaN,0
130,0.15,50,14,18,2.259441137,68,-130
18,0,5000,14,NaN,0,NaN,0
117,1,50,14,55,1.741645098,-62,-22
118,1,100,14,NaN,0,NaN,0
139,0.15,50,14,2.5,2.141370058,43.5,-93.5
143,0.15,5000,14,NaN,0,NaN,0
159,0,5000,14,128,2.200708866,-31,72
37,0,5000,14,NaN,0,NaN,0
106,0,100,14,66,1.235538006,-40,-94
127,0.15,50,14,NaN,0,NaN,0
46,0.15,5000,14,47,2.517837048,1,-76
103,1,50,14,NaN,0,NaN,0
74,0.15,50,14,176,1.282870054,-78,116
37,1,100,14,NaN,0,NaN,0
23,1,100,14,124,1.56493187,-79,96
120,0.15,50,14,NaN,0,NaN,0
176,0.15,5000,14,105,2.211908102,-71,56
120,0,50,14,NaN,0,NaN,0
30,1,100,14,113.5,1.929724932,83.5,26.5
74,0.15,5000,14,NaN,0,NaN,0
115,0.15,50,14,28.5,1.811959982,-86.5,-3.5
32,0.15,50,14,NaN,0,NaN,0
164,0,50,14,178,2.047376156,14,164
77,1,100,14,NaN,0,NaN,0
6,0.15,5000,14,159,1.30616498,-27,134
51,0,50,14,NaN,0,NaN,0
157,0,5000,14,64,1.259426117,87,-110
60,0.15,5000,14,NaN,0,NaN,0
9,1,50,14,8.5,2.447266102,-0.5,-138.5
56,1,100,14,NaN,0,NaN,0
124,0.15,100,14,65.5,1.917827845,-58.5,20.5
10,1,50,14,NaN,0,NaN,0
55,1,50,14,104,2.506103039,49,-41
168,1,100,14,NaN,0,NaN,0
95,1,50,14,124,1.506094933,29,104
156,0,5000,14,NaN,0,NaN,0
80,0,100,14,10,1.353080988,-70,-138
95,0.15,100,14,NaN,0,NaN,0
26,0.15,50,14,27,2.306117058,1,-50
11,1,100,14,NaN,0,NaN,0
48,0.15,5000,14,0.5,2.235470057,-47.5,-95.5
55,0.15,5000,14,NaN,0,NaN,0
125,0.15,100,14,136,2.212327957,11,80
87,1,5000,14,NaN,0,NaN,0
96,0,50,14,62,0.953052044,-34,-98
171,0,5000,14,NaN,0,NaN,0
163,0.15,50,14,33,1.223752022,50,-90
162,0,50,14,NaN,0,NaN,0
173,1,5000,14,176,1.847462177,3,116
131,0.15,5000,14,NaN,0,NaN,0
176,0,50,14,126,1.43565917,-50,98
79,0,5000,14,NaN,0,NaN,0
154,0,50,14,89.5,2.517984867,-64.5,40.5
88,1,5000,14,NaN,0,NaN,0
170,0,100,14,119,1.341403961,-51,32
150,0,100,14,NaN,0,NaN,0
89,1,50,14,31,2.000216961,-58,-1
71,0,50,14,NaN,0,NaN,0
72,0.15,50,14,177.5,2.200334072,-74.5,163.5
44,0,100,14,NaN,0,NaN,0
