orient,distractor,kappa,subject,resp,respRT,acc,traj
64,0.15,5000,2,155,1.800621986,-89,72
31,0,100,2,NaN,0,NaN,0
25,0.15,100,2,149.5,2.22372818,-55.5,129.5
127,1,5000,2,NaN,0,NaN,0
165,1,5000,2,NaN,0,NaN,0
57,0,5000,2,NaN,0,NaN,0
103,1,100,2,133,1.224123001,30,106
52,0.15,50,2,NaN,0,NaN,0
169,0.15,5000,2,124,1.330014944,-45,38
112,1,100,2,NaN,0,NaN,0
77,0.15,100,2,63.5,2.294337034,-13.5,59.5
18,0,50,2,NaN,0,NaN,0
9,1,50,2,53,1.02385211,44,32
8,1,100,2,NaN,0,NaN,0
9,1,50,2,54.5,2.553277016,45.5,-9.5
146,0.15,5000,2,NaN,0,NaN,0
5,0.15,100,2,30.5,1.15327096,25.5,-7.5
101,0,100,2,NaN,0,NaN,0
92,0.15,50,2,44,2.411982059,-48,-122
73,1,100,2,NaN,0,NaN,0
103,1,50,2,64,1.247292995,-39,-56
12,0,100,2,NaN,0,NaN,0
107,0.15,5000,2,73,2.541596889,-34,-30
148,0.15,50,2,NaN,0,NaN,0
136,1,50,2,116,1.682801962,-20,82
153,0,100,2,NaN,0,NaN,0
6,1,5000,2,61,1.741715908,55,-46
107,0.15,5000,2,NaN,0,NaN,0
4,0,100,2,167,1.965306044,-17,109
144,1,5000,2,NaN,0,NaN,0
165,1,50,2,179.5,2.541368961,14.5,123.5
5,0.15,50,2,NaN,0,NaN,0
56,0.15,100,2,180,2.553159952,-56,88
60,0.15,50,2,NaN,0,NaN,0
132,1,5000,2,8.5,1.117878199,56.5,7.5
140,0,5000,2,NaN,0,NaN,0
112,1,100,2,131,1.576962233,19,48
55,0,50,2,NaN,0,NaN,0
152,0.15,5000,2,148,1.18857789,-4,128
104,0,5000,2,NaN,0,NaN,0
45,0,100,2,120,2.09435606,75,45
7,1,5000,2,NaN,0,NaN,0
52,1,100,2,135,1.482587814,83,108
140,0.15,5000,2,NaN,0,NaN,0
133,0.15,5000,2,124,2.176652908,-9,38
164,0.15,50,2,NaN,0,NaN,0
79,0.15,100,2,68,1.364946127,-11,64
92,0,5000,2,NaN,0,NaN,0
93,1,100,2,71,1.223752975,-22,50
128,0,5000,2,NaN,0,NaN,0
147,0,5000,2,43,2.459012032,76,-21
165,0,50,2,NaN,0,NaN,0
19,1,100,2,22,1.400222063,3,-16
61,1,5000,2,NaN,0,NaN,0
25,0.15,50,2,62,1.43552804,37,-104
12,1,5000,2,NaN,0,NaN,0
61,0,50,2,57.5,2.353128195,-3.5,-62.5
166,1,100,2,NaN,0,NaN,0
75,0.15,100,2,73,1.012260914,-2,-30
39,0.15,100,2,76,0.894346952,37,-30
72,0,100,2,NaN,0,NaN,0
55,1,5000,2,27.5,1.953145027,-27.5,-42.5
80,1,50,2,NaN,0,NaN,0
21,0.15,100,2,108.5,2.541718006,87.5,-62.5
27,1,5000,2,NaN,0,NaN,0
177,1,100,2,72.5,2.541419983,75.5,67.5
39,0,50,2,NaN,0,NaN,0
127,0,50,2,51,2.047257185,-76,45
94,1,50,2,NaN,0,NaN,0
175,0,5000,2,139.5,2.541460991,-35.5,132.5
58,0,5000,2,NaN,0,NaN,0
156,1,50,2,172,2.506134987,16,33
103,0,5000,2,NaN,0,NaN,0
117,1,50,2,106,2.541605949,-11,-40
107,0,100,2,NaN,0,NaN,0
152,0,100,2,23.5,2.541866779,51.5,-93.5
117,1,100,2,NaN,0,NaN,0
59,0.15,5000,2,NaN,0,NaN,0
158,0.15,100,2,113,2.211967945,-45,86
47,1,50,2,NaN,0,NaN,0
129,0,5000,2,122,1.28255105,-7,36
25,0.15,50,2,NaN,0,NaN,0
71,0,50,2,92,2.294711828,21,88
39,0,50,2,NaN,0,NaN,0
89,1,5000,2,45.5,1.565232992,-43.5,24.5
64,1,5000,2,NaN,0,NaN,0
79,0,5000,2,49.5,1.588692904,-29.5,-14.5
90,1,50,2,NaN,0,NaN,0
4,0.15,50,2,32,1.02380991,28,-6
3,0.15,50,2,NaN,0,NaN,0
172,1,50,2,70,2.294314146,78,-96
145,0,50,2,NaN,0,NaN,0
88,0.15,50,2,60,1.341374874,-28,-60
180,1,50,2,NaN,0,NaN,0
103,0.15,5000,2,74,2.282564878,-29,-29
165,1,100,2,NaN,0,NaN,0
75,1,50,2,93.5,2.553176165,18.5,59.5
95,0.15,5000,2,NaN,0,NaN,0
87,1,5000,2,71.5,2.011987209,-15.5,-35.5
156,0,100,2,NaN,0,NaN,0
72,0,5000,2,166,2.05903697,-86,108
172,1,100,2,NaN,0,NaN,0
119,0.15,100,2,174,2.482573032,55,118
35,0,50,2,NaN,0,NaN,0
133,0,50,2,2,1.541405916,49,-90
77,1,5000,2,NaN,0,NaN,0
110,1,5000,2,NaN,0,NaN,0
167,0.15,5000,2,175,2.377078056,8,36
5,0,5000,2,NaN,0,NaN,0
38,0.15,100,2,73.5,2.377102137,35.5,-72.5
100,0,100,2,NaN,0,NaN,0
167,0,100,2,29,1.788510084,42,-88
104,0,50,2,NaN,0,NaN,0
110,1,100,2,NaN,0,NaN,0
171,0,50,2,137,1.223754883,-34,110
171,0.15,5000,2,NaN,0,NaN,0
51,0,50,2,116,1.141406059,65,30
81,0,100,2,NaN,0,NaN,0
25,0,5000,2,70,2.094646931,45,66
84,1,100,2,NaN,0,NaN,0
173,0,50,2,NaN,0,NaN,0
81,0.15,5000,2,NaN,0,NaN,0
111,0,100,2,55.5,1.235831976,-55.5,-8.5
160,0,50,2,NaN,0,NaN,0
93,1,50,2,35.5,2.341387033,-57.5,-2.5
40,0,50,2,NaN,0,NaN,0
172,1,5000,2,52.5,2.04753685,60.5,-113.5
173,1,100,2,NaN,0,NaN,0
106,1,5000,2,34,2.553360939,-72,-86
35,0.15,5000,2,NaN,0,NaN,0
74,1,50,2,77.5,1.976722002,3.5,-25.5
176,0.15,50,2,NaN,0,NaN,0
34,0.15,5000,2,119,2.54143405,85,85
174,1,100,2,NaN,0,NaN,0
125,0,50,2,61.5,2.529986858,-63.5,-45.5
143,1,100,2,NaN,0,NaN,0
173,0,5000,2,169.5,2.10610795,-3.5,111.5
133,0.15,100,2,NaN,0,NaN,0
44,1,100,2,5,2.223983049,-39,-51
138,1,50,2,NaN,0,NaN,0
118,1,5000,2,12,2.553232908,74,-80
36,1,5000,2,NaN,0,NaN,0
53,0,50,2,8.5,1.6594491,-44.5,7.5
169,0,5000,2,NaN,0,NaN,0
112,0,5000,2,159,2.318372011,47,76
168,0,100,2,NaN,0,NaN,0
68,0.15,100,2,148,1.259559155,80,128
170,0.15,5000,2,NaN,0,NaN,0
11,1,50,2,125,2.529598951,-66,50
109,0.15,50,2,NaN,0,NaN,0
67,1,100,2,159,2.541527033,-88,132
39,1,50,2,NaN,0,NaN,0
123,0,100,2,119.5,1.953182936,-3.5,33.5
47,0,100,2,NaN,0,NaN,0
89,1,50,2,58,1.306365967,-31,54
80,0,5000,2,NaN,0,NaN,0
51,1,100,2,51,1.153181076,0,30
35,1,50,2,NaN,0,NaN,0
132,0.15,50,2,52,1.211932182,-80,-12
125,0.15,100,2,NaN,0,NaN,0
148,0,100,2,29.5,1.035872221,61.5,-8.5
112,1,100,2,NaN,0,NaN,0
119,0.15,50,2,58,1.74149704,-61,-108
135,0.15,50,2,NaN,0,NaN,0
155,0.15,50,2,42,1.812510014,67,-78
47,0,5000,2,NaN,0,NaN,0
33,0.15,50,2,71.5,2.035499096,38.5,-31.5
174,0,50,2,NaN,0,NaN,0
175,0.15,50,2,110,2.117866993,-65,76
49,1,100,2,110,1.329741955,61,40
164,0.15,5000,2,NaN,0,NaN,0
98,1,100,2,121,1.482861996,23,-50
21,0,50,2,52,2.423749924,31,-6
76,0.15,50,2,41,0.871315002,-35,36
117,1,50,2,NaN,0,NaN,0
